fetchedAt,rank,address,displayName,coin,side,size,entryPx,positionValue,unrealizedPnl,returnOnEquity,leverage,liquidationPx
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,BTC,long,241.02162,59980.7,14530952.4481799994,74306.18088,0.1027986429,20,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,ETH,short,-5144.4029,1583.48,8130728.78345,15348.67776,0.0282627028,15,6039.1254839852
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,ATOM,long,61761.39,1.7692,97045.672107,-12227.941431,-0.559510253,5,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,SOL,short,-130755.31,70.079,9371363.8230099995,-208153.90517,-0.4543253009,20,246.234298664
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,AVAX,long,47688.03,6.3566,303763.213494,626.309275,0.0206609379,10,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,BNB,short,-544.129,561.527,302851.31882,2692.11452,0.0440545308,5,39869.7218557047
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,LTC,short,-16074.98,44.1532,689070.09268,20692.099387,0.2915356667,10,1420.571753831
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,ARB,long,140379.3,0.07376,10396.490958,42.113009,0.0406716939,10,
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,DOGE,short,-14007856.0,0.079653,1037057.611104,78721.778306,0.7055317481,10,1.6539170902
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,INJ,short,-0.4,7.83,1.89204,1.23996,1.9795019157,5,55704064.6996809468
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,SUI,short,-2014874.0,0.69451,1384802.7514599999,14554.669307,0.1040096625,10,11.6631466674
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,kPEPE,short,-112144995.0,0.002624,268250.82804,26120.286721,0.8873250605,10,0.2000443392
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,CRV,short,-2257244.6000000001,0.20893,433571.542768,38045.905103,0.8067111443,10,10.0085642256
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,LDO,short,-1921864.5,0.27514,477352.70451,51443.63976,0.4864220443,5,11.3151450594
2026-06-28T09:21:33.727838+00:00,2,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,LINK,short,-214383.5,9.80562,1569994.6855500001,532169.478148,2.5315314919,10,110.4401462674
